min_lenbin	9
max_lenbin	21
window_size	9
NV	46
NJ	14
NL	13
NC	380
TRBV10-1	-0.326264560
TRBV10-2	0.194376007
TRBV10-3	-0.676168680
TRBV11-1	-0.047912423
TRBV11-2	0.061831631
TRBV11-3	-0.442725956
TRBV12-2	-0.291575164
TRBV12-3	-0.196234241
TRBV12-5	0.244582325
TRBV13	1.443523288
TRBV14	0.216208920
TRBV15	0.502802849
TRBV18	-1.188156366
TRBV19	0.041294638
TRBV2	-0.192167878
TRBV20-1	-0.709893227
TRBV21-1	0.279841065
TRBV23-1	-0.044026554
TRBV24-1	-0.429021865
TRBV25-1	-0.086622261
TRBV27	1.060478926
TRBV28	0.079096325
TRBV29-1	-0.210524201
TRBV3-1	-0.291861385
TRBV30	-0.257483333
TRBV4-1	0.764803290
TRBV4-2	-0.008434015
TRBV4-3	0.525356174
TRBV5-1	-0.606660962
TRBV5-4	-0.163843021
TRBV5-5	0.052585576
TRBV5-6	0.225935996
TRBV5-8	-0.014236651
TRBV6-1	-0.245703742
TRBV6-2	-0.027838474
TRBV6-4	0.928281426
TRBV6-5	-0.047250852
TRBV6-6	-0.361432910
TRBV7-2	-0.816590667
TRBV7-3	-0.267954767
TRBV7-6	0.480527073
TRBV7-7	-0.195340499
TRBV7-8	0.342061102
TRBV7-9	0.498889536
TRBV9	0.591427743
UNKNOWN_TRBV	-0.055760454
TRBJ1-1	0.071424365
TRBJ1-2	-0.102596551
TRBJ1-3	-0.071905114
TRBJ1-4	0.059171554
TRBJ1-5	0.144570470
TRBJ1-6	0.109260567
TRBJ2-1	-0.046783764
TRBJ2-2	0.123264953
TRBJ2-3	-0.081741944
TRBJ2-4	-0.138011917
TRBJ2-5	0.012347936
TRBJ2-6	0.004831201
TRBJ2-7	-0.007204490
UNKNOWN_TRBJ	-0.018639768
L9	0.024963751
L10	0.233037233
L11	-0.112571165
L12	-0.146145731
L13	-0.230617315
L14	-0.223002151
L15	-0.144139692
L16	-0.082804672
L17	0.022614192
L18	0.107192226
L19	0.173713863
L20	0.209763825
L21	0.299734503
AAPOS0	0.046017993
AAPOS1	0.140506998
AAPOS2	0.018169856
AAPOS3	0.007738675
AAPOS4	-0.018045146
AAPOS5	0.001548397
AAPOS6	0.023581238
AAPOS7	0.017719893
AAPOS8	-0.017846799
AAPOS9	-0.026840605
AAPOS10	-0.042506028
AAPOS11	0.044364635
AAPOS12	0.028034121
AAPOS13	0.018346420
AAPOS14	0.008591894
AAPOS15	0.006748411
AAPOS16	0.021076387
AAPOS17	-0.011757714
AAPOS18	-0.009328267
AAPOS19	0.032387771
AAPOS20	0.166962117
AAPOS21	-0.059852824
AAPOS22	0.023805683
AAPOS23	0.006105414
AAPOS24	-0.008831740
AAPOS25	-0.088779993
AAPOS26	0.078475304
AAPOS27	-0.066073090
AAPOS28	-0.058939457
AAPOS29	0.090197988
AAPOS30	0.056138594
AAPOS31	-0.117843919
AAPOS32	-0.047063045
AAPOS33	-0.085571453
AAPOS34	-0.120368838
AAPOS35	0.023861649
AAPOS36	0.242991537
AAPOS37	0.199019998
AAPOS38	0.016007781
AAPOS39	-0.052147828
AAPOS40	0.083236575
AAPOS41	0.034673136
AAPOS42	0.182072431
AAPOS43	0.385921210
AAPOS44	-0.018313346
AAPOS45	-0.081056602
AAPOS46	-0.130035892
AAPOS47	0.030378887
AAPOS48	0.063254960
AAPOS49	-0.014139937
AAPOS50	0.209756598
AAPOS51	-0.165639758
AAPOS52	-0.169657320
AAPOS53	0.028588060
AAPOS54	0.047250133
AAPOS55	-0.118611187
AAPOS56	-0.064904965
AAPOS57	0.087252535
AAPOS58	0.069013901
AAPOS59	-0.241035461
AAPOS60	-0.265511662
AAPOS61	-0.169973344
AAPOS62	0.291744024
AAPOS63	0.381904840
AAPOS64	0.211517811
AAPOS65	-0.206373826
AAPOS66	0.013306027
AAPOS67	0.064559259
