A1BG
A2M
ABCA2
ABCB1
ABCF2
ABHD15
ABHD17A
ABI3
ABLIM1
ACAA2
ACP5
ACTB
ACTG1
ACTN1
ACTN4
ADAM12
ADD3
ADI1
ADRB2
ADTRP
AGAP1
AGO2
AHI1
AHNAK
AIF1
AK5
AKNA
ALDOA
ALOX5AP
AMFR
ANK3
ANKRD55
ANP32B
ANXA1
ANXA2
ANXA5
AOAH
AP3M2
APBA2
APMAP
APOBEC3C
APOBEC3G
APOBEC3H
APOO
APP
AQP3
ARAP2
ARF1
ARHGAP15
ARHGAP26
ARHGDIB
ARID5B
ARL4A
ARL4C
ARL6IP5
ARPC1B
ARPC2
ARPC3
ARPC5L
ARRB2
ASCL2
ATF3
ATF7IP2
ATG2A
ATP10D
ATP1B3
ATP8A1
AUTS2
B2M
B3GALT2
B3GNT2
B3GNT5
B3GNT8
B4GALT1
BACH2
BATF
BCAS4
BCAT1
BCL11B
BCL2A1
BCL2L1
BHLHE40
BIRC3
BIRC5
BLK
BOLA2
BOP1
BRD2
BSG
BST2
BTF3
BTG1
BTG3
BTLA
BYSL
BZW1
BZW2
C11orf21
C12orf57
C12orf75
C1QBP
C1orf162
C1orf21
CA2
CACNA2D2
CACNA2D4
CALM1
CALM2
CALM3
CALR
CAMK4
CAP1
CAPN12
CAPN2
CARD16
CASP1
CASP4
CAST
CBLB
CCDC107
CCDC85B
CCDC86
CCL20
CCL3
CCL4
CCL4L2
CCL5
CCND1
CCR1
CCR2
CCR4
CCR5
CCR6
CCR7
CCT2
CCT5
CCT6A
CCT8
CD109
CD151
CD160
CD1C
CD2
CD200
CD244
CD247
CD248
CD27
CD28
CD300A
CD38
CD3D
CD3G
CD4
CD40LG
CD5
CD52
CD53
CD58
CD59
CD6
CD63
CD69
CD7
CD74
CD79A
CD81
CD82
CD83
CD8A
CD8B
CD9
CD96
CD99
CDC42EP3
CDCA7
CDK2AP2
CDKN1A
CEBPD
CERK
CFH
CFL1
CFLAR
CHD9
CHI3L2
CHMP7
CHN2
CHST12
CISD3
CKLF
CKS2
CLEC11A
CLEC2B
CLEC2D
CLIC1
CLIC3
CMC1
CMTM7
CMTM8
CNN2
COL5A3
COL6A2
COLQ
CORO1A
CORO1B
COTL1
COX5A
COX6A1
CPM
CPNE2
CPNE7
CREM
CRIP1
CRIP2
CRTAM
CSF2
CSGALNACT1
CSNK2B
CSRNP1
CST3
CST7
CTLA4
CTPS1
CTSA
CTSB
CTSC
CTSD
CTSH
CTSL
CTSS
CTSW
CX3CR1
CXCR3
CXCR4
CXCR6
CXXC5
CYB561
CYB5A
CYBA
CYCS
CYLD
CYP4F22
CYSLTR1
CYTH1
CYTH3
DAD1
DBI
DBN1
DCAF13
DCTPP1
DCUN1D5
DDIT4
DDX21
DGKA
DHRS7
DKK3
DNAJA1
DNAJB11
DNAJB6
DNAJC1
DNPH1
DOT1L
DPP4
DRAP1
DSEL
DTHD1
DUSP1
DUSP2
DUSP4
DYNLL1
EBNA1BP2
EEF1A1
EEF1B2
EEF1D
EEF1E1
EEF1G
EEF2
EFHD2
EGR2
EHD1
EIF1
EIF2S1
EIF3E
EIF4A1
EIF5A
EIF6
ELK3
ELL
ELOVL4
ELOVL6
EMB
EML4
EMP3
ENC1
ENO1
ENPP5
EOMES
EPHB6
EPHX2
ERGIC1
ERN1
ESPN
ETF1
ETS1
EVI2B
EVL
EZR
F2R
F5
FAAH2
FABP5
FAM13A
FAM43A
FARSA
FASLG
FAU
FBLN2
FBLN7
FBXO6
FCER1G
FCGR3A
FCN1
FCRL3
FCRL6
FEZ1
FGFBP2
FGR
FHL3
FKBP11
FKBP1A
FKBP2
FKBP4
FLNA
FLT4
FOS
FOSB
FOSL1
FOSL2
FOXP1
FOXP3
FSD1
FTH1
FTL
FURIN
FXYD2
FXYD5
FYN
G3BP2
G6PD
GAB3
GABARAPL1
GADD45B
GALC
GALNT3
GAPDH
GATA3
GBP2
GBP5
GEM
GIMAP5
GIMAP7
GK
GLIPR1
GLRX
GLRX3
GLUL
GMFG
GNA15
GNAI2
GNG2
GNG4
GNG5
GNGT2
GNLY
GPR171
GPR183
GPR35
GPR65
GRAP2
GSE1
GSTK1
GSTP1
GTDC1
GTF3C1
GTPBP4
GUK1
GYG1
GYPC
GZMA
GZMB
GZMH
GZMK
GZMM
HAGHL
HAVCR2
HCST
HDAC9
HECTD2
HELZ
HERPUD1
HINT1
HIVEP3
HLA-A
HLA-C
HLA-DMA
HLA-DOA
HLA-DQA1
HLA-DQB1
HLA-DRB1
HLA-DRB5
HLA-F
HM13
HMGA1
HMGB1
HMGN2
HNRNPA1
HNRNPAB
HNRNPLL
HNRNPUL1
HOPX
HPGD
HSP90AA1
HSP90AB1
HSP90B1
HSPA1A
HSPA1B
HSPA5
HSPB1
HSPD1
HSPE1
HSPH1
ICAM1
ICAM2
ICOS
ID1
ID2
ID3
IDH2
IER2
IER3
IER5
IFI27L2
IFITM1
IFITM2
IFITM3
IFNG
IFNGR1
IFNGR2
IFRD2
IGFBP4
IGFBP7
IKZF2
IKZF3
IL10RA
IL12RB1
IL12RB2
IL17RE
IL18R1
IL18RAP
IL2
IL21
IL21R
IL23R
IL2RA
IL2RB
IL2RG
IL32
IL4I1
IL6R
IL6ST
IL7R
ILF2
INPP4B
IPO4
IQGAP1
IRF1
IRF4
IRF8
ISG15
ISG20
ITCH
ITGA1
ITGA4
ITGAL
ITGAM
ITGB1
ITGB2
ITK
ITM2A
ITM2B
ITM2C
ITPRIP
JAKMIP1
JARID2
JMJD6
JUN
JUNB
KCNK5
KDM6B
KIF5C
KIR2DL3
KIT
KLF13
KLF2
KLF6
KLRB1
KLRC1
KLRC2
KLRC3
KLRC4
KLRD1
KLRF1
KLRG1
KLRK1
KPNA2
LAG3
LAIR2
LAT
LATS2
LCP1
LDHA
LDHB
LDLRAP1
LEF1
LEPROTL1
LGALS1
LGALS3
LGR6
LILRB1
LIMD2
LIMS1
LIMS2
LITAF
LMNA
LMO4
LPAR6
LPCAT1
LRRC59
LRRN3
LSM2
LSP1
LST1
LTA
LTB
LTBP4
LTK
LUZP1
LY6E
LY96
LYAR
LYST
LYZ
MAF
MAFF
MAL
MAML2
MAN1A1
MANF
MAP2K3
MAP3K1
MAP3K4
MAP3K8
MAPKAPK2
MATK
MATN2
MCL1
MCOLN2
MCTP2
ME1
METRNL
METTL1
MFSD10
MFSD2A
MGAT4A
MICAL2
MIF
MKI67
MKNK1
MLLT3
MMP23B
MPST
MRPL10
MRPL12
MRPS17
MRTO4
MSN
MT1E
MT1F
MT2A
MTFP1
MTHFD1L
MTHFD2
MTRNR2L8
MVB12B
MXD4
MXRA8
MYADM
MYBL1
MYC
MYL12A
MYL6
MYO1F
MYO1G
MZB1
N4BP3
NAB2
NACA
NAMPT
NCALD
NCAM1
NCF4
NCR3
NDFIP1
NDFIP2
NDUFA11
NDUFA13
NDUFAB1
NDUFB7
NDUFB8
NDUFS6
NELL2
NEO1
NFKBIA
NFKBIB
NFKBID
NHP2
NINJ1
NIPA1
NKG7
NMB
NME1
NME2
NMUR1
NOLC1
NOP10
NOP16
NOSIP
NPM1
NPM3
NR1D1
NR4A1
NR4A2
NR4A3
NRCAM
NREP
NRIP1
NSG1
NT5E
NTN4
NUCB2
NXPH4
OASL
ODF2L
OSBPL3
OSTC
OSTF1
OXNAD1
P2RY14
P4HB
PABPC1
PAICS
PAK1IP1
PAM
PARK7
PARP8
PARVG
PASK
PBXIP1
PCED1B
PDCD1
PDCD4
PDE4D
PDGFA
PDGFD
PDIA3
PDIA6
PELI1
PERP
PES1
PFDN5
PFKFB3
PFKP
PFN1
PGAM1
PHACTR2
PHB
PHEX
PHGDH
PHLDA1
PI16
PIK3AP1
PIK3IP1
PIK3R1
PILRB
PIM2
PIM3
PIP4K2A
PKIA
PKM
PLAC8
PLCB1
PLCL1
PLD1
PLEK
PLEKHA5
PLEKHF1
PLEKHG3
PLP2
PLSCR1
PLXND1
PMAIP1
PNP
PNRC1
POLR1C
POLR2L
POMP
POU2AF1
POU2F2
PPA1
PPAN
PPIA
PPIB
PPP1CA
PPP1R14B
PPP1R15A
PPP1R18
PPP1R2
PPP2R2B
PPP2R5C
PRDM1
PRDX1
PRDX3
PRDX6
PRELID1
PRF1
PRKCB
PRMT1
PRMT2
PRNP
PROCR
PRR5
PRR5L
PRSS23
PSAP
PSAT1
PSIP1
PSMA2
PSMA3
PSMA5
PSMA6
PSMA7
PSMB2
PSMB3
PSMB6
PSMB8
PSMB9
PSMC4
PSMD13
PSMD8
PSME2
PTCRA
PTGDR
PTGER2
PTK7
PTMA
PTMS
PTPN13
PTPN22
PTPN4
PTPRCAP
PTPRE
PTPRK
PTTG1
PUS7
PYCR1
PYHIN1
PZP
RAB18
RAB27A
RAB37
RAB6B
RAB8B
RAB9A
RAC2
RAN
RANBP1
RAP1B
RARG
RASSF1
RBBP8
RBM8A
RBPJ
RCAN3
RDH10
REEP5
REG4
REL
RELB
REXO2
RGCC
RGS1
RGS10
RGS16
RGS2
RGS3
RGS9
RHBDF2
RHOB
RHOC
RHOG
RHOH
RIC3
RILPL2
RNASEK
RNASET2
RNF19A
RORA
RORC
RPN1
RRAS2
RRM2
RRP1
RRP9
RTKN2
RUNX2
RUNX3
S100A10
S100A11
S100A4
S100A6
S100A8
S100A9
S100B
S1PR1
S1PR5
SAMD3
SAMHD1
SAMSN1
SASH3
SAT1
SATB1
SCCPDH
SCD5
SCRN1
SDC4
SDF2L1
SEC61B
SEC61G
SELL
SELPLG
SEMA7A
SERBP1
SERF2
SERINC5
SERPINA1
SERPINB9
SERPINE2
SERPINF1
SERTAD1
SESN1
SESN3
SFXN1
SGPP2
SH2D1A
SH2D1B
SH2D2A
SH3BGRL3
SH3YL1
SHMT2
SIPA1
SIPA1L2
SKAP1
SKAP2
SKIL
SLA
SLA2
SLAMF1
SLAMF7
SLC16A3
SLC1A5
SLC25A4
SLC25A5
SLC27A2
SLC29A1
SLC35E4
SLC3A2
SLC40A1
SLC43A3
SLC4A10
SLC4A4
SLC7A1
SLC7A5
SLC9A3R1
SLCO4A1
SMOX
SMPD3
SMS
SNRPB
SNRPD1
SNRPE
SNRPG
SNX8
SOCS3
SOD1
SOX4
SPCS3
SPI1
SPINT2
SPN
SPOCK2
SPON2
SPRY1
SPTSSB
SQSTM1
SRGN
SRM
SRPRB
SRSF2
SRSF7
SSBP2
SSR3
SSR4
STAM
STARD4
STAT4
STK17A
STMN1
STOM
SUB1
SUMO2
SURF4
SUSD3
SYNCRIP
SYNE1
SYNE2
SYNGR1
SYTL2
SYTL3
TAP1
TBC1D31
TBC1D4
TBX21
TC2N
TCEA3
TCF7
TERF2IP
TESC
TESPA1
TFRC
TGFB1
TGFBR3
THEM4
THEMIS
THOC3
TIAM1
TIAM2
TIGIT
TIMD4
TIMM13
TIMP1
TIPARP
TKT
TLE1
TLN1
TMED9
TMEM107
TMEM109
TMEM123
TMIGD2
TMSB10
TMSB4X
TNF
TNFAIP3
TNFAIP8
TNFRSF18
TNFRSF1A
TNFRSF1B
TNFRSF25
TNFRSF4
TNFRSF9
TNFSF10
TNFSF13B
TNFSF14
TNFSF8
TNFSF9
TNIP3
TOB1
TOMM40
TOMM5
TOMM7
TOP1
TOX
TP53I11
TPBG
TPD52
TPI1
TPST2
TPT1
TRABD2A
TRADD
TRAF3
TRAF3IP3
TRAT1
TRIQK
TSC22D3
TSEN54
TSHZ2
TSPAN15
TSPAN32
TSPO
TTC16
TTC24
TTC38
TTC39C
TTN
TUBA1C
TUBB
TUBB4B
TXN
TXNDC17
TXNIP
TYMS
TYROBP
UAP1
UBA52
UBB
UBC
UBL5
UCK2
UCP2
USP10
USP11
USP15
USP28
VCAM1
VDAC1
VIM
VPS37B
WDR86
WIPF1
XBP1
XCL1
XCL2
YBX1
YBX3
YWHAB
YWHAH
YWHAQ
ZAP70
ZBTB16
ZBTB32
ZC3H12A
ZC3H12D
ZEB2
ZFP36
ZFP36L1
ZFP36L2
ZNF593
ZNF683
