ABCB1
ABHD17A
ABI3
ACP5
ACTB
ACTG1
ADAM12
ADRB2
AGAP1
AHNAK
AIF1
ALOX5AP
ANXA1
ANXA2
AOAH
APMAP
APOBEC3G
AQP3
ARHGDIB
ARID5B
ARPC1B
ARPC2
ARPC3
B2M
B3GNT8
BATF
BHLHE40
BLK
BTG1
C12orf75
C1orf21
CA2
CALM1
CARD16
CCL20
CCL3
CCL4
CCL4L2
CCL5
CCR1
CCR6
CCR7
CD160
CD2
CD200
CD244
CD247
CD248
CD27
CD38
CD3D
CD4
CD40LG
CD52
CD69
CD7
CD74
CD81
CD82
CD8A
CD8B
CD99
CDC42EP3
CEBPD
CFL1
CHI3L2
CHST12
CKLF
CLIC1
CLIC3
CMC1
CNN2
COLQ
CORO1A
COTL1
CPNE2
CREM
CRIP1
CRTAM
CSF2
CST3
CST7
CTLA4
CTSC
CTSD
CTSS
CTSW
CX3CR1
CXCR3
CXCR4
CXCR6
CXXC5
CYBA
CYTH1
DBN1
DKK3
DNPH1
DUSP1
DUSP2
DUSP4
EEF1A1
EEF1B2
EEF1D
EEF1G
EFHD2
EIF1
ELOVL4
EMP3
ENO1
EOMES
EPHB6
ERN1
ETS1
EZR
FABP5
FAU
FBLN7
FCER1G
FCGR3A
FCN1
FCRL6
FEZ1
FGFBP2
FGR
FKBP11
FLNA
FLT4
FOSL2
FOXP1
FOXP3
FTH1
FTL
FXYD5
FYN
GAPDH
GATA3
GBP5
GLUL
GMFG
GNAI2
GNG4
GNLY
GPR183
GPR65
GSTK1
GSTP1
GTF3C1
GYG1
GZMA
GZMB
GZMH
GZMK
GZMM
HAVCR2
HCST
HLA-A
HLA-C
HLA-DQB1
HLA-DRB1
HLA-DRB5
HMGA1
HMGB1
HMGN2
HNRNPA1
HOPX
HPGD
HSP90AA1
HSPA1B
HSPB1
HSPD1
HSPE1
ID2
ID3
IFITM1
IFITM2
IFITM3
IFNG
IFNGR1
IGFBP7
IKZF2
IL10RA
IL17RE
IL18R1
IL18RAP
IL2
IL21
IL23R
IL2RA
IL2RB
IL2RG
IL32
IL4I1
IL7R
INPP4B
IRF8
ISG20
ITGA4
ITGB1
ITGB2
ITM2A
ITM2B
ITM2C
JUNB
KLF2
KLF6
KLRB1
KLRC1
KLRC2
KLRC3
KLRC4
KLRD1
KLRF1
KLRG1
KLRK1
LAG3
LATS2
LCP1
LDHA
LDHB
LEF1
LGALS1
LGALS3
LIMD2
LIMS1
LITAF
LSP1
LST1
LTB
LTK
LY6E
LYAR
LYST
LYZ
MAL
MAP3K4
MAP3K8
MATK
MCL1
ME1
MGAT4A
MIF
MSN
MT2A
MXD4
MYBL1
MYL6
MYO1F
MZB1
NACA
NCR3
NELL2
NFKBIA
NFKBID
NKG7
NME1
NOSIP
NPM1
NR4A2
NT5E
NUCB2
P2RY14
PABPC1
PARK7
PARP8
PASK
PBXIP1
PFN1
PGAM1
PHLDA1
PIK3AP1
PIK3R1
PKM
PLAC8
PLCB1
PLD1
PLEK
PLP2
PLXND1
PMAIP1
POU2AF1
PPIA
PPP1CA
PPP2R5C
PRF1
PRR5
PSAP
PSMB8
PSME2
PTGDR
PTGER2
PTMA
PTMS
PTPRCAP
RAB27A
RAB6B
RAC2
RANBP1
RBPJ
RGS1
RGS10
RNASET2
RORA
RORC
RTKN2
RUNX3
S100A10
S100A4
S100A6
S100A8
S100A9
S100B
S1PR5
SAMD3
SAMSN1
SAT1
SATB1
SCRN1
SELL
SELPLG
SEMA7A
SERF2
SERPINA1
SH2D1A
SH2D1B
SH2D2A
SH3BGRL3
SKAP1
SLAMF7
SLC25A5
SLC27A2
SLC4A10
SLC7A5
SOX4
SPI1
SPOCK2
SPON2
SPRY1
SRGN
STAM
STMN1
STOM
SUB1
SUMO2
SYTL2
TBX21
TCF7
TIGIT
TKT
TLE1
TMIGD2
TMSB10
TMSB4X
TNF
TNFAIP3
TNFRSF18
TNFRSF1B
TNFRSF4
TNFRSF9
TNFSF14
TPI1
TPST2
TPT1
TRADD
TSC22D3
TSHZ2
TSPAN15
TUBB
TXNIP
TYROBP
UBA52
UBC
UCP2
USP15
VIM
XCL1
XCL2
YBX1
YBX3
YWHAB
ZBTB16
ZEB2
ZFP36
ZFP36L2
ZNF683
